instancia;valor_minimo;valor_medio;valor_maximo;erro_minimo;erro_medio;erro_maximo;erro_desvio_padrao
instances/berlin52.tsp;8291;9777.07;10890;9.93;29.63;44.39;7.6
instances/bier127.tsp;162689;180253.97;197810;37.54;52.39;67.24;6.94
instances/brazil58.tsp;29928;33870.73;38770;17.85;33.38;52.67;9.46
instances/ch130.tsp;9416;11128.9;12616;54.11;82.14;106.48;11.57
instances/ch150.tsp;11555;12730.27;14239;77.01;95.01;118.12;10.68
instances/dantzig42.tsp;837;924.23;1094;19.74;32.22;56.51;10.57
instances/eil101.tsp;842;938.2;1054;33.86;49.16;67.57;7.66
instances/eil51.tsp;464;533.4;621;8.92;25.21;45.77;8.73
instances/eil76.tsp;659;749.8;845;22.49;39.37;57.06;9.2
instances/fri26.tsp;968;1070.23;1250;3.31;14.22;33.4;6.63
instances/gr120.tsp;10209;11656.93;13345;47.06;67.92;92.24;11.59
instances/gr17.tsp;2085;2132.37;2370;0.0;2.27;13.67;2.95
instances/gr21.tsp;2707;2961.7;3499;0.0;9.41;29.26;8.11
instances/gr24.tsp;1310;1439.27;1691;2.99;13.15;32.94;7.33
instances/gr48.tsp;5716;6552.83;7271;13.28;29.86;44.09;7.63
instances/hk48.tsp;12727;14763.27;16557;11.05;28.81;44.46;8.05
instances/kroA100.tsp;31081;36594.07;43664;46.04;71.95;105.17;13.69
instances/kroA150.tsp;47992;54697.23;63583;80.94;106.22;139.72;13.96
instances/kroB150.tsp;46338;54400.93;64426;77.34;108.19;146.56;15.79
instances/lin105.tsp;23100;27218.37;31130;60.65;89.29;116.5;13.68
instances/pr107.tsp;72996;107558.0;147560;64.77;142.78;233.07;37.95
instances/pr124.tsp;114427;133612.13;158735;93.85;126.35;168.91;21.62
instances/pr136.tsp;161336;185781.87;205430;66.72;91.98;112.28;12.13
instances/pr144.tsp;146486;169300.37;192603;150.25;189.22;229.03;19.0
instances/pr152.tsp;179221;218793.5;241431;143.24;196.94;227.67;19.81
instances/pr76.tsp;138644;157218.63;174602;28.19;45.36;61.43;8.37
instances/rat99.tsp;1728;1973.9;2258;42.69;63.0;86.46;11.75
instances/rd100.tsp;11466;13153.87;16173;44.96;66.29;104.46;11.86
instances/st70.tsp;872;1020.57;1122;29.19;51.2;66.22;10.34
instances/swiss42.tsp;1412;1635.83;1863;10.92;28.5;46.35;8.43
