instancia;cruzamento;mutacao;execucao;fitness;limite_otimo;erro_relativo_percentual
instances/gr17.tsp;0.8;0.001;1;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;2;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;3;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;4;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;5;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;6;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;7;2095;2085;0.4796
instances/gr17.tsp;0.8;0.001;8;2095;2085;0.4796
instances/gr17.tsp;0.8;0.001;9;2095;2085;0.4796
instances/gr17.tsp;0.8;0.001;10;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;11;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;12;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;13;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;14;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;15;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;16;2088;2085;0.1439
instances/gr17.tsp;0.8;0.001;17;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;18;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;19;2088;2085;0.1439
instances/gr17.tsp;0.8;0.001;20;2088;2085;0.1439
instances/gr17.tsp;0.8;0.001;21;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;22;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;23;2088;2085;0.1439
instances/gr17.tsp;0.8;0.001;24;2095;2085;0.4796
instances/gr17.tsp;0.8;0.001;25;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;26;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;27;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;28;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;29;2095;2085;0.4796
instances/gr17.tsp;0.8;0.001;30;2088;2085;0.1439
instances/gr17.tsp;0.8;0.0025;1;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;2;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;3;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;4;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;5;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;6;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;7;2095;2085;0.4796
instances/gr17.tsp;0.8;0.0025;8;2088;2085;0.1439
instances/gr17.tsp;0.8;0.0025;9;2098;2085;0.6235
instances/gr17.tsp;0.8;0.0025;10;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;11;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;12;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;13;2095;2085;0.4796
instances/gr17.tsp;0.8;0.0025;14;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;15;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;16;2088;2085;0.1439
instances/gr17.tsp;0.8;0.0025;17;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;18;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;19;2088;2085;0.1439
instances/gr17.tsp;0.8;0.0025;20;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;21;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;22;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;23;2088;2085;0.1439
instances/gr17.tsp;0.8;0.0025;24;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;25;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;26;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;27;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;28;2090;2085;0.2398
instances/gr17.tsp;0.8;0.0025;29;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;30;2085;2085;0.0
instances/gr17.tsp;0.8;0.004;1;2090;2085;0.2398
instances/gr17.tsp;0.8;0.004;2;2090;2085;0.2398
instances/gr17.tsp;0.8;0.004;3;2090;2085;0.2398
instances/gr17.tsp;0.8;0.004;4;2090;2085;0.2398
instances/gr17.tsp;0.8;0.004;5;2085;2085;0.0
instances/gr17.tsp;0.8;0.004;6;2088;2085;0.1439
instances/gr17.tsp;0.8;0.004;7;2090;2085;0.2398
instances/gr17.tsp;0.8;0.004;8;2085;2085;0.0
instances/gr17.tsp;0.8;0.004;9;2090;2085;0.2398
instances/gr17.tsp;0.8;0.004;10;2085;2085;0.0
instances/gr17.tsp;0.8;0.004;11;2090;2085;0.2398
