instancia;cruzamento;mutacao;execucao;fitness;limite_otimo;erro_relativo_percentual
instances/gr17.tsp;0.8;0.001;1;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;2;2182;2085;4.6523
instances/gr17.tsp;0.8;0.001;3;2169;2085;4.0288
instances/gr17.tsp;0.8;0.001;4;2226;2085;6.7626
instances/gr17.tsp;0.8;0.001;5;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;6;2153;2085;3.2614
instances/gr17.tsp;0.8;0.001;7;2142;2085;2.7338
instances/gr17.tsp;0.8;0.001;8;2233;2085;7.0983
instances/gr17.tsp;0.8;0.001;9;2170;2085;4.0767
instances/gr17.tsp;0.8;0.001;10;2159;2085;3.5492
instances/gr17.tsp;0.8;0.001;11;2120;2085;1.6787
instances/gr17.tsp;0.8;0.001;12;2142;2085;2.7338
instances/gr17.tsp;0.8;0.001;13;2223;2085;6.6187
instances/gr17.tsp;0.8;0.001;14;2296;2085;10.1199
instances/gr17.tsp;0.8;0.001;15;2285;2085;9.5923
instances/gr17.tsp;0.8;0.001;16;2512;2085;20.4796
instances/gr17.tsp;0.8;0.001;17;2156;2085;3.4053
instances/gr17.tsp;0.8;0.001;18;2142;2085;2.7338
instances/gr17.tsp;0.8;0.001;19;2153;2085;3.2614
instances/gr17.tsp;0.8;0.001;20;2206;2085;5.8034
instances/gr17.tsp;0.8;0.001;21;2184;2085;4.7482
instances/gr17.tsp;0.8;0.001;22;2139;2085;2.5899
instances/gr17.tsp;0.8;0.001;23;2253;2085;8.0576
instances/gr17.tsp;0.8;0.001;24;2284;2085;9.5444
instances/gr17.tsp;0.8;0.001;25;2329;2085;11.7026
instances/gr17.tsp;0.8;0.001;26;2163;2085;3.741
instances/gr17.tsp;0.8;0.001;27;2245;2085;7.6739
instances/gr17.tsp;0.8;0.001;28;2201;2085;5.5635
instances/gr17.tsp;0.8;0.001;29;2164;2085;3.789
instances/gr17.tsp;0.8;0.001;30;2095;2085;0.4796
instances/gr17.tsp;0.8;0.0025;1;2228;2085;6.8585
instances/gr17.tsp;0.8;0.0025;2;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;3;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;4;2266;2085;8.6811
instances/gr17.tsp;0.8;0.0025;5;2098;2085;0.6235
instances/gr17.tsp;0.8;0.0025;6;2176;2085;4.3645
instances/gr17.tsp;0.8;0.0025;7;2170;2085;4.0767
instances/gr17.tsp;0.8;0.0025;8;2156;2085;3.4053
instances/gr17.tsp;0.8;0.0025;9;2205;2085;5.7554
instances/gr17.tsp;0.8;0.0025;10;2168;2085;3.9808
instances/gr17.tsp;0.8;0.0025;11;2234;2085;7.1463
instances/gr17.tsp;0.8;0.0025;12;2182;2085;4.6523
instances/gr17.tsp;0.8;0.0025;13;2191;2085;5.0839
instances/gr17.tsp;0.8;0.0025;14;2154;2085;3.3094
instances/gr17.tsp;0.8;0.0025;15;2095;2085;0.4796
instances/gr17.tsp;0.8;0.0025;16;2171;2085;4.1247
instances/gr17.tsp;0.8;0.0025;17;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;18;2150;2085;3.1175
instances/gr17.tsp;0.8;0.0025;19;2095;2085;0.4796
instances/gr17.tsp;0.8;0.0025;20;2123;2085;1.8225
instances/gr17.tsp;0.8;0.0025;21;2085;2085;0.0
instances/gr17.tsp;0.8;0.0025;22;2184;2085;4.7482
instances/gr17.tsp;0.8;0.0025;23;2156;2085;3.4053
instances/gr17.tsp;0.8;0.0025;24;2187;2085;4.8921
instances/gr17.tsp;0.8;0.0025;25;2181;2085;4.6043
instances/gr17.tsp;0.8;0.0025;26;2248;2085;7.8177
instances/gr17.tsp;0.8;0.0025;27;2103;2085;0.8633
instances/gr17.tsp;0.8;0.0025;28;2214;2085;6.1871
instances/gr17.tsp;0.8;0.0025;29;2153;2085;3.2614
instances/gr17.tsp;0.8;0.0025;30;2168;2085;3.9808
instances/gr17.tsp;0.8;0.004;1;2095;2085;0.4796
instances/gr17.tsp;0.8;0.004;2;2163;2085;3.741
instances/gr17.tsp;0.8;0.004;3;2136;2085;2.446
instances/gr17.tsp;0.8;0.004;4;2090;2085;0.2398
instances/gr17.tsp;0.8;0.004;5;2155;2085;3.3573
instances/gr17.tsp;0.8;0.004;6;2377;2085;14.0048
instances/gr17.tsp;0.8;0.004;7;2085;2085;0.0
instances/gr17.tsp;0.8;0.004;8;2103;2085;0.8633
instances/gr17.tsp;0.8;0.004;9;2154;2085;3.3094
instances/gr17.tsp;0.8;0.004;10;2085;2085;0.0
instances/gr17.tsp;0.8;0.004;11;2088;2085;0.1439
instances/gr17.tsp;0.8;0.004;12;2157;2085;3.4532
instances/gr17.tsp;0.8;0.004;13;2158;2085;3.5012
instances/gr17.tsp;0.8;0.004;14;2157;2085;3.4532
instances/gr17.tsp;0.8;0.004;15;2103;2085;0.8633
instances/gr17.tsp;0.8;0.004;16;2095;2085;0.4796
instances/gr17.tsp;0.8;0.004;17;2116;2085;1.4868
instances/gr17.tsp;0.8;0.004;18;2095;2085;0.4796
instances/gr17.tsp;0.8;0.004;19;2123;2085;1.8225
instances/gr17.tsp;0.8;0.004;20;2095;2085;0.4796
instances/gr17.tsp;0.8;0.004;21;2154;2085;3.3094
instances/gr17.tsp;0.8;0.004;22;2219;2085;6.4269
instances/gr17.tsp;0.8;0.004;23;2085;2085;0.0
instances/gr17.tsp;0.8;0.004;24;2163;2085;3.741
instances/gr17.tsp;0.8;0.004;25;2085;2085;0.0
instances/gr17.tsp;0.8;0.004;26;2085;2085;0.0
instances/gr17.tsp;0.8;0.004;27;2223;2085;6.6187
instances/gr17.tsp;0.8;0.004;28;2146;2085;2.9257
instances/gr17.tsp;0.8;0.004;29;2210;2085;5.9952
instances/gr17.tsp;0.8;0.004;30;2151;2085;3.1655
instances/gr17.tsp;0.9;0.001;1;2206;2085;5.8034
instances/gr17.tsp;0.9;0.001;2;2210;2085;5.9952
instances/gr17.tsp;0.9;0.001;3;2261;2085;8.4412
instances/gr17.tsp;0.9;0.001;4;2308;2085;10.6954
instances/gr17.tsp;0.9;0.001;5;2095;2085;0.4796
instances/gr17.tsp;0.9;0.001;6;2134;2085;2.3501
instances/gr17.tsp;0.9;0.001;7;2210;2085;5.9952
instances/gr17.tsp;0.9;0.001;8;2166;2085;3.8849
instances/gr17.tsp;0.9;0.001;9;2131;2085;2.2062
instances/gr17.tsp;0.9;0.001;10;2177;2085;4.4125
instances/gr17.tsp;0.9;0.001;11;2149;2085;3.0695
instances/gr17.tsp;0.9;0.001;12;2199;2085;5.4676
instances/gr17.tsp;0.9;0.001;13;2258;2085;8.2974
instances/gr17.tsp;0.9;0.001;14;2221;2085;6.5228
instances/gr17.tsp;0.9;0.001;15;2240;2085;7.4341
instances/gr17.tsp;0.9;0.001;16;2088;2085;0.1439
instances/gr17.tsp;0.9;0.001;17;2221;2085;6.5228
instances/gr17.tsp;0.9;0.001;18;2146;2085;2.9257
instances/gr17.tsp;0.9;0.001;19;2095;2085;0.4796
instances/gr17.tsp;0.9;0.001;20;2098;2085;0.6235
instances/gr17.tsp;0.9;0.001;21;2184;2085;4.7482
instances/gr17.tsp;0.9;0.001;22;2193;2085;5.1799
instances/gr17.tsp;0.9;0.001;23;2251;2085;7.9616
instances/gr17.tsp;0.9;0.001;24;2149;2085;3.0695
instances/gr17.tsp;0.9;0.001;25;2171;2085;4.1247
instances/gr17.tsp;0.9;0.001;26;2153;2085;3.2614
instances/gr17.tsp;0.9;0.001;27;2225;2085;6.7146
instances/gr17.tsp;0.9;0.001;28;2085;2085;0.0
instances/gr17.tsp;0.9;0.001;29;2211;2085;6.0432
instances/gr17.tsp;0.9;0.001;30;2090;2085;0.2398
instances/gr17.tsp;0.9;0.0025;1;2095;2085;0.4796
instances/gr17.tsp;0.9;0.0025;2;2218;2085;6.3789
instances/gr17.tsp;0.9;0.0025;3;2098;2085;0.6235
instances/gr17.tsp;0.9;0.0025;4;2085;2085;0.0
instances/gr17.tsp;0.9;0.0025;5;2085;2085;0.0
instances/gr17.tsp;0.9;0.0025;6;2095;2085;0.4796
instances/gr17.tsp;0.9;0.0025;7;2088;2085;0.1439
instances/gr17.tsp;0.9;0.0025;8;2142;2085;2.7338
instances/gr17.tsp;0.9;0.0025;9;2085;2085;0.0
instances/gr17.tsp;0.9;0.0025;10;2085;2085;0.0
instances/gr17.tsp;0.9;0.0025;11;2168;2085;3.9808
instances/gr17.tsp;0.9;0.0025;12;2238;2085;7.3381
