instancia;cruzamento;mutacao;execucao;fitness;limite_otimo;erro_relativo_percentual
instances/gr17.tsp;0.7;0.001;1;2174;2085;4.2686
instances/gr17.tsp;0.7;0.001;2;2279;2085;9.3046
instances/gr17.tsp;0.7;0.001;3;2095;2085;0.4796
instances/gr17.tsp;0.7;0.001;4;2156;2085;3.4053
instances/gr17.tsp;0.7;0.001;5;2380;2085;14.1487
instances/gr17.tsp;0.7;0.001;6;2095;2085;0.4796
instances/gr17.tsp;0.7;0.001;7;2223;2085;6.6187
instances/gr17.tsp;0.7;0.001;8;2228;2085;6.8585
instances/gr17.tsp;0.7;0.001;9;2329;2085;11.7026
instances/gr17.tsp;0.7;0.001;10;2215;2085;6.235
instances/gr17.tsp;0.7;0.001;11;2152;2085;3.2134
instances/gr17.tsp;0.7;0.001;12;2160;2085;3.5971
instances/gr17.tsp;0.7;0.001;13;2142;2085;2.7338
instances/gr17.tsp;0.7;0.001;14;2188;2085;4.94
instances/gr17.tsp;0.7;0.001;15;2137;2085;2.494
instances/gr17.tsp;0.7;0.001;16;2326;2085;11.5588
instances/gr17.tsp;0.7;0.001;17;2238;2085;7.3381
instances/gr17.tsp;0.7;0.001;18;2155;2085;3.3573
instances/gr17.tsp;0.7;0.001;19;2175;2085;4.3165
instances/gr17.tsp;0.7;0.001;20;2288;2085;9.7362
instances/gr17.tsp;0.7;0.001;21;2103;2085;0.8633
instances/gr17.tsp;0.7;0.001;22;2294;2085;10.024
instances/gr17.tsp;0.7;0.001;23;2120;2085;1.6787
instances/gr17.tsp;0.7;0.001;24;2095;2085;0.4796
instances/gr17.tsp;0.7;0.001;25;2227;2085;6.8106
instances/gr17.tsp;0.7;0.001;26;2201;2085;5.5635
instances/gr17.tsp;0.7;0.001;27;2136;2085;2.446
instances/gr17.tsp;0.7;0.001;28;2234;2085;7.1463
instances/gr17.tsp;0.7;0.001;29;2194;2085;5.2278
instances/gr17.tsp;0.7;0.001;30;2323;2085;11.4149
instances/gr17.tsp;0.7;0.005;1;2103;2085;0.8633
instances/gr17.tsp;0.7;0.005;2;2164;2085;3.789
instances/gr17.tsp;0.7;0.005;3;2187;2085;4.8921
instances/gr17.tsp;0.7;0.005;4;2095;2085;0.4796
instances/gr17.tsp;0.7;0.005;5;2129;2085;2.1103
instances/gr17.tsp;0.7;0.005;6;2153;2085;3.2614
instances/gr17.tsp;0.7;0.005;7;2228;2085;6.8585
instances/gr17.tsp;0.7;0.005;8;2158;2085;3.5012
instances/gr17.tsp;0.7;0.005;9;2095;2085;0.4796
instances/gr17.tsp;0.7;0.005;10;2090;2085;0.2398
instances/gr17.tsp;0.7;0.005;11;2090;2085;0.2398
instances/gr17.tsp;0.7;0.005;12;2123;2085;1.8225
instances/gr17.tsp;0.7;0.005;13;2153;2085;3.2614
instances/gr17.tsp;0.7;0.005;14;2248;2085;7.8177
instances/gr17.tsp;0.7;0.005;15;2120;2085;1.6787
instances/gr17.tsp;0.7;0.005;16;2385;2085;14.3885
instances/gr17.tsp;0.7;0.005;17;2120;2085;1.6787
instances/gr17.tsp;0.7;0.005;18;2184;2085;4.7482
instances/gr17.tsp;0.7;0.005;19;2094;2085;0.4317
instances/gr17.tsp;0.7;0.005;20;2136;2085;2.446
instances/gr17.tsp;0.7;0.005;21;2217;2085;6.3309
instances/gr17.tsp;0.7;0.005;22;2186;2085;4.8441
instances/gr17.tsp;0.7;0.005;23;2158;2085;3.5012
instances/gr17.tsp;0.7;0.005;24;2088;2085;0.1439
instances/gr17.tsp;0.7;0.005;25;2383;2085;14.2926
instances/gr17.tsp;0.7;0.005;26;2103;2085;0.8633
instances/gr17.tsp;0.7;0.005;27;2170;2085;4.0767
instances/gr17.tsp;0.7;0.005;28;2136;2085;2.446
instances/gr17.tsp;0.7;0.005;29;2184;2085;4.7482
instances/gr17.tsp;0.7;0.005;30;2090;2085;0.2398
instances/gr17.tsp;0.7;0.01;1;2337;2085;12.0863
instances/gr17.tsp;0.7;0.01;2;2194;2085;5.2278
instances/gr17.tsp;0.7;0.01;3;2311;2085;10.8393
instances/gr17.tsp;0.7;0.01;4;2095;2085;0.4796
instances/gr17.tsp;0.7;0.01;5;2153;2085;3.2614
instances/gr17.tsp;0.7;0.01;6;2120;2085;1.6787
instances/gr17.tsp;0.7;0.01;7;2103;2085;0.8633
instances/gr17.tsp;0.7;0.01;8;2146;2085;2.9257
instances/gr17.tsp;0.7;0.01;9;2223;2085;6.6187
instances/gr17.tsp;0.7;0.01;10;2103;2085;0.8633
instances/gr17.tsp;0.7;0.01;11;2103;2085;0.8633
instances/gr17.tsp;0.7;0.01;12;2154;2085;3.3094
instances/gr17.tsp;0.7;0.01;13;2103;2085;0.8633
instances/gr17.tsp;0.7;0.01;14;2475;2085;18.705
instances/gr17.tsp;0.7;0.01;15;2153;2085;3.2614
instances/gr17.tsp;0.7;0.01;16;2103;2085;0.8633
instances/gr17.tsp;0.7;0.01;17;2167;2085;3.9329
instances/gr17.tsp;0.7;0.01;18;2098;2085;0.6235
instances/gr17.tsp;0.7;0.01;19;2085;2085;0.0
instances/gr17.tsp;0.7;0.01;20;2167;2085;3.9329
instances/gr17.tsp;0.7;0.01;21;2187;2085;4.8921
instances/gr17.tsp;0.7;0.01;22;2155;2085;3.3573
instances/gr17.tsp;0.7;0.01;23;2103;2085;0.8633
instances/gr17.tsp;0.7;0.01;24;2085;2085;0.0
instances/gr17.tsp;0.7;0.01;25;2098;2085;0.6235
instances/gr17.tsp;0.7;0.01;26;2293;2085;9.976
instances/gr17.tsp;0.7;0.01;27;2163;2085;3.741
instances/gr17.tsp;0.7;0.01;28;2223;2085;6.6187
instances/gr17.tsp;0.7;0.01;29;2163;2085;3.741
instances/gr17.tsp;0.7;0.01;30;2085;2085;0.0
instances/gr17.tsp;0.8;0.001;1;2314;2085;10.9832
instances/gr17.tsp;0.8;0.001;2;2240;2085;7.4341
instances/gr17.tsp;0.8;0.001;3;2167;2085;3.9329
instances/gr17.tsp;0.8;0.001;4;2142;2085;2.7338
instances/gr17.tsp;0.8;0.001;5;2120;2085;1.6787
instances/gr17.tsp;0.8;0.001;6;2197;2085;5.3717
instances/gr17.tsp;0.8;0.001;7;2160;2085;3.5971
instances/gr17.tsp;0.8;0.001;8;2098;2085;0.6235
instances/gr17.tsp;0.8;0.001;9;2153;2085;3.2614
instances/gr17.tsp;0.8;0.001;10;2142;2085;2.7338
instances/gr17.tsp;0.8;0.001;11;2171;2085;4.1247
instances/gr17.tsp;0.8;0.001;12;2120;2085;1.6787
instances/gr17.tsp;0.8;0.001;13;2169;2085;4.0288
instances/gr17.tsp;0.8;0.001;14;2238;2085;7.3381
instances/gr17.tsp;0.8;0.001;15;2309;2085;10.7434
instances/gr17.tsp;0.8;0.001;16;2095;2085;0.4796
instances/gr17.tsp;0.8;0.001;17;2149;2085;3.0695
instances/gr17.tsp;0.8;0.001;18;2304;2085;10.5036
instances/gr17.tsp;0.8;0.001;19;2247;2085;7.7698
instances/gr17.tsp;0.8;0.001;20;2170;2085;4.0767
instances/gr17.tsp;0.8;0.001;21;2098;2085;0.6235
instances/gr17.tsp;0.8;0.001;22;2170;2085;4.0767
instances/gr17.tsp;0.8;0.001;23;2103;2085;0.8633
instances/gr17.tsp;0.8;0.001;24;2327;2085;11.6067
instances/gr17.tsp;0.8;0.001;25;2098;2085;0.6235
instances/gr17.tsp;0.8;0.001;26;2136;2085;2.446
instances/gr17.tsp;0.8;0.001;27;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;28;2090;2085;0.2398
instances/gr17.tsp;0.8;0.001;29;2120;2085;1.6787
instances/gr17.tsp;0.8;0.001;30;2220;2085;6.4748
instances/gr17.tsp;0.8;0.005;1;2103;2085;0.8633
instances/gr17.tsp;0.8;0.005;2;2149;2085;3.0695
instances/gr17.tsp;0.8;0.005;3;2098;2085;0.6235
instances/gr17.tsp;0.8;0.005;4;2136;2085;2.446
instances/gr17.tsp;0.8;0.005;5;2121;2085;1.7266
instances/gr17.tsp;0.8;0.005;6;2142;2085;2.7338
instances/gr17.tsp;0.8;0.005;7;2095;2085;0.4796
instances/gr17.tsp;0.8;0.005;8;2156;2085;3.4053
instances/gr17.tsp;0.8;0.005;9;2090;2085;0.2398
instances/gr17.tsp;0.8;0.005;10;2197;2085;5.3717
instances/gr17.tsp;0.8;0.005;11;2172;2085;4.1727
instances/gr17.tsp;0.8;0.005;12;2203;2085;5.6595
instances/gr17.tsp;0.8;0.005;13;2180;2085;4.5564
instances/gr17.tsp;0.8;0.005;14;2220;2085;6.4748
instances/gr17.tsp;0.8;0.005;15;2183;2085;4.7002
instances/gr17.tsp;0.8;0.005;16;2154;2085;3.3094
instances/gr17.tsp;0.8;0.005;17;2090;2085;0.2398
instances/gr17.tsp;0.8;0.005;18;2151;2085;3.1655
instances/gr17.tsp;0.8;0.005;19;2158;2085;3.5012
instances/gr17.tsp;0.8;0.005;20;2090;2085;0.2398
instances/gr17.tsp;0.8;0.005;21;2090;2085;0.2398
instances/gr17.tsp;0.8;0.005;22;2123;2085;1.8225
instances/gr17.tsp;0.8;0.005;23;2103;2085;0.8633
instances/gr17.tsp;0.8;0.005;24;2240;2085;7.4341
instances/gr17.tsp;0.8;0.005;25;2184;2085;4.7482
instances/gr17.tsp;0.8;0.005;26;2171;2085;4.1247
instances/gr17.tsp;0.8;0.005;27;2098;2085;0.6235
instances/gr17.tsp;0.8;0.005;28;2088;2085;0.1439
instances/gr17.tsp;0.8;0.005;29;2184;2085;4.7482
instances/gr17.tsp;0.8;0.005;30;2103;2085;0.8633
instances/gr17.tsp;0.8;0.01;1;2215;2085;6.235
instances/gr17.tsp;0.8;0.01;2;2166;2085;3.8849
instances/gr17.tsp;0.8;0.01;3;2085;2085;0.0
instances/gr17.tsp;0.8;0.01;4;2096;2085;0.5276
instances/gr17.tsp;0.8;0.01;5;2370;2085;13.6691
instances/gr17.tsp;0.8;0.01;6;2245;2085;7.6739
instances/gr17.tsp;0.8;0.01;7;2300;2085;10.3118
instances/gr17.tsp;0.8;0.01;8;2168;2085;3.9808
instances/gr17.tsp;0.8;0.01;9;2210;2085;5.9952
instances/gr17.tsp;0.8;0.01;10;2120;2085;1.6787
instances/gr17.tsp;0.8;0.01;11;2095;2085;0.4796
instances/gr17.tsp;0.8;0.01;12;2159;2085;3.5492
instances/gr17.tsp;0.8;0.01;13;2085;2085;0.0
instances/gr17.tsp;0.8;0.01;14;2167;2085;3.9329
instances/gr17.tsp;0.8;0.01;15;2155;2085;3.3573
instances/gr17.tsp;0.8;0.01;16;2085;2085;0.0
instances/gr17.tsp;0.8;0.01;17;2085;2085;0.0
instances/gr17.tsp;0.8;0.01;18;2103;2085;0.8633
instances/gr17.tsp;0.8;0.01;19;2120;2085;1.6787
instances/gr17.tsp;0.8;0.01;20;2085;2085;0.0
instances/gr17.tsp;0.8;0.01;21;2159;2085;3.5492
instances/gr17.tsp;0.8;0.01;22;2153;2085;3.2614
instances/gr17.tsp;0.8;0.01;23;2406;2085;15.3957
instances/gr17.tsp;0.8;0.01;24;2085;2085;0.0
instances/gr17.tsp;0.8;0.01;25;2223;2085;6.6187
instances/gr17.tsp;0.8;0.01;26;2085;2085;0.0
instances/gr17.tsp;0.8;0.01;27;2167;2085;3.9329
instances/gr17.tsp;0.8;0.01;28;2095;2085;0.4796
instances/gr17.tsp;0.8;0.01;29;2085;2085;0.0
instances/gr17.tsp;0.8;0.01;30;2180;2085;4.5564
instances/gr17.tsp;0.9;0.001;1;2095;2085;0.4796
instances/gr17.tsp;0.9;0.001;2;2155;2085;3.3573
instances/gr17.tsp;0.9;0.001;3;2220;2085;6.4748
instances/gr17.tsp;0.9;0.001;4;2203;2085;5.6595
instances/gr17.tsp;0.9;0.001;5;2182;2085;4.6523
instances/gr17.tsp;0.9;0.001;6;2195;2085;5.2758
instances/gr17.tsp;0.9;0.001;7;2095;2085;0.4796
instances/gr17.tsp;0.9;0.001;8;2095;2085;0.4796
instances/gr17.tsp;0.9;0.001;9;2139;2085;2.5899
instances/gr17.tsp;0.9;0.001;10;2181;2085;4.6043
instances/gr17.tsp;0.9;0.001;11;2095;2085;0.4796
instances/gr17.tsp;0.9;0.001;12;2208;2085;5.8993
instances/gr17.tsp;0.9;0.001;13;2166;2085;3.8849
instances/gr17.tsp;0.9;0.001;14;2307;2085;10.6475
instances/gr17.tsp;0.9;0.001;15;2197;2085;5.3717
instances/gr17.tsp;0.9;0.001;16;2340;2085;12.2302
instances/gr17.tsp;0.9;0.001;17;2136;2085;2.446
